name,release_year,image,platforms
Survivor: The Interactive Game,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/2/23546/870911-619wwazmz2l._sl500_aa280_.jpg,['PC']
Zombie Dinos,1992,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7465/1743293-937701_83590_front.jpg,['CD-i']
Castle Master + Castle Master 2: The Crypt,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1987/811459-cmii_f.jpg,"['Amiga', 'Atari ST', 'Commodore 64', 'ZX Spectrum', 'PC']"
Rockman Battle & Chase,1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/3161/329504-rockmanbattlechasentscjslps007.jpg,['PlayStation']
Gateway 2: Homeworld,1993,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/9408/729825-gate2.jpg,['PC']
Fantasy Wars,2008,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1403/356143-1127_fantasy_wars_packshot.jpg,['PC']
Shin Bokura no Taiyou Gyakushuu no Sabata,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1520/518789-shinbok.jpg,['Game Boy Advance']
Half-Life: Counter-Strike,2000,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4865/814139-000000000000.jpg,"['Mac', 'Xbox', 'PC', 'Linux']"
SkyRoads Xmas Special,1994,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/80045/1493781-1.jpg,['PC']
Venus the Flytrap,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/14206/940618-v.jpg,"['Amiga', 'Atari ST']"
Bangkok Knights,1987,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1987/703836-bk.gif,"['Amiga', 'Atari ST', 'Commodore 64']"
Ape Escape 2,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1875174-box_ae2.png,"['PlayStation 2', 'PlayStation 4']"
Tak: The Great Juju Challenge,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2352272-box_tak3.png,"['Game Boy Advance', 'PlayStation 2', 'GameCube', 'Xbox', 'Nintendo DS', 'PlayStation Network (PS3)']"
Conflict: Global Terror,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2972739-box_cgt.png,"['PlayStation 2', 'Xbox', 'PC']"
Jail Break,1986,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7667/1315949-jailbreak_title.png,"['Amstrad CPC', 'Commodore 64', 'ZX Spectrum', 'Arcade', 'Xbox 360 Games Store']"
A-Type,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['Amiga']
Lemmings Paintball,1996,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/81005/2646164-lemmings_paintball_coverart.jpg,['PC']
Ninja Spirit,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2365560-tg16_ninjaspirit.jpg,"['Amiga', 'Game Boy', 'Amstrad CPC', 'Atari ST', 'Commodore 64', 'ZX Spectrum', 'TurboGrafx-16', 'Arcade', 'Wii Shop', 'Wii U', 'PlayStation 4', 'Nintendo Switch']"
The Crystal Skull,1996,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/81005/2421970-x.jpg,"['Mac', 'PC']"
Beautiful Katamari,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2543541-box_bk.png,"['Xbox 360', 'Xbox 360 Games Store']"
Jagur 5,1987,https://giantbomb1.cbsistatic.com/uploads/scale_small/16/164924/2998508-4842929713-Cover.png,['MSX']
Anastasia: Adventures with Pooka and Bartok,1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4647/1170679-anastasia.jpg,"['Mac', 'PC']"
The Land Before Time,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4647/837296-562723_45338_front.jpg,"['Game Boy Advance', 'Game Boy Color']"
People's Tactics,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103881/2140314-peoples_tactics_logo.jpg,['PC']
Star Wars: The Clone Wars,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2285714-box_swtcw.png,"['PlayStation 2', 'GameCube', 'Xbox']"
Contra: Shattered Soldier,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1841707-box_contrass.png,"['PlayStation 2', 'PlayStation Network (PS3)']"
Knights of the Crystallion,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['Amiga']
NBA Ballers: Phenom,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2250699-box_nbabalp.png,"['PlayStation 2', 'Xbox']"
BMX Ninja,1988,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/6188/1083056-bmx_ninja.jpg,"['Amstrad CPC', 'Commodore 64', 'ZX Spectrum']"
Destination: Treasure Island,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4647/838769-destinationtreasureisland.jpg,"['Mac', 'PC']"
Joust,1982,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2367712-a2600_joust_none.jpg,"['Game Boy', 'Atari Lynx', 'Atari ST', 'Mac', 'Nintendo Entertainment System', 'Atari 8-bit', 'Atari 2600', 'Atari 5200', 'Atari 7800', 'Arcade', 'Xbox 360 Games Store', 'PlayStation Network (PS3)', 'PC']"
Hot Shots Golf 2,1999,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2222512-box_hsg2.png,"['PlayStation', 'PlayStation Network (PS3)']"
Renegade: The Battle for Jacob's Star,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/19/194553/2521991-renegade.jpg,['PC']
Walkover,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['PC']
Dance Dance Revolution SuperNOVA,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2280568-box_ddrsn.png,"['PlayStation 2', 'Arcade']"
Captain Skyhawk,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2361197-nes_captainskyhawk.jpg,['Nintendo Entertainment System']
NHL 06,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2276026-box_nhl06.png,"['PlayStation 2', 'GameCube', 'Xbox', 'PC']"
Spoils of War,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,"['Amiga', 'Commodore 64', 'PC']"
Exerion,1985,https://giantbomb1.cbsistatic.com/uploads/scale_small/5/56971/1494810-exerion_box_art.jpg,"['MSX', 'Nintendo Entertainment System', 'Arcade', 'Wii Shop', 'Sega SG-1000', 'PlayStation 4']"
Phantasy Star Online Episode I & II Plus,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2478682-box_psoe12p.png,['GameCube']
Tales of Rebirth,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/112/178668-front.jpg,"['PlayStation Portable', 'PlayStation 2']"
Fallout,1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/15693/625333-1212697328_fallout_1_cover_1_.jpg,"['Mac', 'PC']"
"Games People Play: Hearts, Spades, and Euchre",1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['PC']
CART World Series,1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/868/431563-cartworldseriesfrontuq1.jpg,['PlayStation']
C_So!,1985,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/26/2947117-c_so_sg1000_jp_box.jpg,"['MSX', 'Sega SG-1000']"
PC-Man,1982,https://giantbomb1.cbsistatic.com/uploads/scale_small/12/126726/1762165-tume.png,['PC']
Road Trip: Shifting Gears,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4647/834399-915135_40799_front.jpg,['Game Boy Advance']
Off the Wall,1989,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/13692/1365711-nnuq9h2n.jpg,"['Atari 2600', 'Xbox 360 Games Store']"
Weekend Warrior,1996,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1702/1154824-weekwar.png,['Mac']
Cougar Force,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1987/834583-c1.gif,"['Amiga', 'Atari ST', 'PC']"
The New Adventures of the Time Machine,2000,https://giantbomb1.cbsistatic.com/uploads/scale_small/14/147582/3178673-10993-the-new-adventures-of-the-time-machine-windows-front-cover.jpg,['PC']
Dr. Ruth's Computer Game of Good Sex,1986,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/8273/631525-568934_32154_front.jpg,"['Apple II', 'Commodore 64', 'PC']"
Inca,1992,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2364912-cdi_inca_front_none.jpg,"['CD-i', 'PC']"
Skunny Kart,1994,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103881/2637733-skunny%20kart%20cover.jpg,['PC']
Devil's Crush,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2365523-tg16_devilscrush_2.jpg,"['Genesis', 'TurboGrafx-16', 'Wii Shop', 'PlayStation Network (PS3)', 'Wii U']"
SEGA AGES 2500 Vol.6: Puzzle & Action + Bonanza Bros.,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4647/842000-916716_23955_front.jpg,['PlayStation 2']
Rockman EXE 4.5 Real Operation,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/14761/956355-front_cover.jpg,['Game Boy Advance']
4-in-1 Fun Pak,1992,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103881/2188691-cover.jpg,['Game Boy']
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/11911/520181-stalker___pc.jpg,['PC']
Harvey Headbanger,1986,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/692/728004-1178909170_01.png,"['Amstrad CPC', 'Commodore 64']"
Panzer Bandit,1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/2579/1713197-panzer_bandit_box_front.jpg,"['PlayStation', 'PlayStation Network (PS3)']"
Soldiers at War,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/6/65079/1409111-soldiers_at_war.jpg,['PC']
Nuclear Strike,1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2991135-box_nstrike.png,"['PlayStation', 'Nintendo 64', 'PlayStation Network (PS3)', 'PC', 'PlayStation Network (PSP)']"
World Rally Fever: Born on the Road,1996,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/2721/2110254-wroldrallyfever_scotland.jpg,['PC']
Leisure Suit Larry: Love for Sail!,1999,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1900/194738-love_for_sail.jpg,"['Mac', 'PC']"
Cyberia 2: Resurrection,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/9408/721013-cyberia2sa9.jpg,['PC']
Nintendo Puzzle Collection,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/3014353-box_npc.png,['GameCube']
Fathom,1983,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/1791286-fathom__imagic_.jpg,"['Atari 2600', 'ColecoVision', 'TI-99/4A', 'Intellivision', 'PC']"
Virocop,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/6/60173/1479515-140px_virocop.jpg,['Amiga']
Deep II: The Center of the Earth,1993,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['PC']
Warlocked,2000,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/17724/873838-warlocked.jpg,['Game Boy Color']
Team Suzuki,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,"['Amiga', 'Atari ST', 'PC']"
Chibi-Robo!,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2484688-box_crobo.png,"['GameCube', 'Wii']"
Cool Spot,1993,https://giantbomb1.cbsistatic.com/uploads/scale_small/15/155745/2551666-2066011846-recor.jpg,"['Amiga', 'Game Boy', 'Game Gear', 'Genesis', 'Sega Master System', 'Super Nintendo Entertainment System', 'PC']"
Imodoki no Vampire: Bloody Bride,1996,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/18705/626055-bloody_bride_jap_front.jpg,['PlayStation']
"Crush, Crumble and Chomp!",1981,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/86736/1340259-crush.jpg,"['Apple II', 'Commodore 64', 'Atari 8-bit', 'VIC-20', 'TRS-80', 'PC']"
Majesty: The Fantasy Kingdom Sim,2000,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/2891/811035-majesty_box.jpg,"['Mac', 'PC', 'iPhone', 'Android']"
The Chessmaster,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2371414-chessmaster_fr_ntsc.png,"['Game Boy', 'Game Gear', 'Super Nintendo Entertainment System', 'Nintendo Entertainment System', 'Game Boy Color']"
Earthbound Beginnings,1989,https://giantbomb1.cbsistatic.com/uploads/scale_small/16/164924/3126410-6214365273-1e7.p.jpg,"['Nintendo Entertainment System', 'Wii U']"
Falcon 4.0: Allied Force,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/4/48222/1140108-4a91bd8ae70291544a6fde0fa61aca57_falcon_4_0__allied_force_.jpg,"['Mac', 'PC']"
Crysis,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2392174-crysis_01_artwork.jpg,"['Xbox 360 Games Store', 'PlayStation Network (PS3)', 'PC']"
Crimsonland,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/5275/1129865-crimsonland_logo.jpg,"['Mac', 'PlayStation Network (PS3)', 'PC', 'iPhone', 'iPad', 'Android', 'Windows Phone', 'PlayStation Network (Vita)', 'PlayStation 4', 'Linux', 'Nintendo Switch']"
